code,year,color,id,name
GTM,1997,"rgb(1,22,233)",'320,Guatemala
GUY,1997,"rgb(7,19,229)",'328,Guyana
HKG,1997,"rgb(172,15,68)",'344,Hong Kong
HND,1997,"rgb(1,13,241)",'340,Honduras
HRV,1997,"rgb(6,218,31)",'191,Croatia
HTI,1997,"rgb(0,1,254)",'332,Haiti
HUN,1997,"rgb(5,225,24)",'348,Hungary
IDN,1997,"rgb(47,51,157)",'360,Indonesia
IND,1997,"rgb(28,68,159)",'356,India
IRL,1997,"rgb(6,108,141)",'372,Ireland
IRN,1997,"rgb(40,211,4)",'364,Iran
ISL,1997,"rgb(9,126,120)",'352,Iceland
ISR,1997,"rgb(4,57,194)",'376,Israel
ITA,1997,"rgb(16,173,66)",'380,Italy
JAM,1997,"rgb(5,4,246)",'388,Jamaica
JOR,1997,"rgb(31,114,110)",'400,Jordan
JPN,1997,"rgb(56,27,172)",'392,Japan
KAZ,1997,"rgb(80,119,56)",'398,Kazakhstan
KEN,1997,"rgb(23,125,107)",'404,Kenya
KIR,1997,"rgb(76,5,174)",'296,Kiribati
KNA,1997,"rgb(0,1,253)",'659,St. Kitts & Nevis
KOR,1997,"rgb(70,31,154)",'410,South Korea
LBN,1997,"rgb(37,104,114)",'422,Lebanon
LCA,1997,"rgb(6,6,243)",'662,St. Lucia
LTU,1997,"rgb(2,224,29)",'440,Lithuania
LVA,1997,"rgb(3,223,29)",'428,Latvia
MAC,1997,"rgb(99,29,127)",'446,Macao
MAR,1997,"rgb(40,97,118)",'504,Morocco
MDA,1997,"rgb(1,139,115)",'498,Moldova
MDG,1997,"rgb(65,98,92)",'450,Madagascar
MDV,1997,"rgb(5,91,159)",'462,Maldives
MEX,1997,"rgb(2,6,247)",'484,Mexico
MKD,1997,"rgb(2,173,79)",'807,Republic of Macedonia (FYROM)
MLI,1997,"rgb(95,65,95)",'466,Mali
MLT,1997,"rgb(8,127,120)",'470,Malta
MNG,1997,"rgb(194,17,43)",'496,Mongolia
MOZ,1997,"rgb(24,52,179)",'508,Mozambique
MUS,1997,"rgb(43,85,128)",'480,Mauritius
MWI,1997,"rgb(0,114,141)",'454,Malawi
MYS,1997,"rgb(28,39,189)",'458,Malaysia
NER,1997,"rgb(66,46,143)",'562,Niger
NGA,1997,"rgb(22,24,209)",'566,Nigeria
NIC,1997,"rgb(1,22,232)",'558,Nicaragua
NLD,1997,"rgb(9,188,58)",'528,Netherlands
NOR,1997,"rgb(17,155,83)",'578,Norway
NZL,1997,"rgb(45,40,170)",'554,New Zealand
OMN,1997,"rgb(160,33,62)",'512,Oman
PAN,1997,"rgb(1,10,244)",'591,Panama
PER,1997,"rgb(34,33,187)",'604,Peru
PHL,1997,"rgb(16,29,210)",'608,The Philippines
POL,1997,"rgb(11,214,30)",'616,Poland
PRT,1997,"rgb(6,203,45)",'620,Portugal
PRY,1997,"rgb(0,55,200)",'600,Paraguay
PYF,1997,"rgb(22,30,203)",'258,French polynesia
ROU,1997,"rgb(10,198,47)",'642,Romania
RUS,1997,"rgb(50,125,81)",'643,Russian Federation
RWA,1997,"rgb(25,165,66)",'646,Rwanda
SCG,1997,"rgb(18,202,35)",NA,NA
SDN,1997,"rgb(90,94,70)",'729,Sudan
SEN,1997,"rgb(55,91,109)",'686,Senegal
SGP,1997,"rgb(39,33,183)",'702,Singapore
SLV,1997,"rgb(3,18,234)",'222,El Salvador
SVK,1997,"rgb(6,224,25)",'703,Slovakia
SVN,1997,"rgb(4,224,27)",'705,Slovenia
SWE,1997,"rgb(13,161,81)",'752,Sweden
SYC,1997,"rgb(20,179,56)",'690,Seychelles
TGO,1997,"rgb(61,110,84)",'768,Togo
THA,1997,"rgb(36,39,180)",'764,Thailand
TKM,1997,"rgb(16,87,152)",'795,Turkmenistan
TTO,1997,"rgb(3,13,239)",'780,Trinidad & Tobago
TUN,1997,"rgb(10,204,41)",'788,Tunisia
TUR,1997,"rgb(10,165,79)",'792,Turkey
TUV,1997,"rgb(216,5,34)",'798,Tuvalu
TZA,1997,"rgb(35,142,77)",'834,Tanzania
UGA,1997,"rgb(39,109,108)",'800,Uganda
UKR,1997,"rgb(78,116,60)",'804,Ukraine
URY,1997,"rgb(47,59,149)",'858,Uruguay
VCT,1997,"rgb(5,7,243)",'670,St. Vincent & the Grenadines
VEN,1997,"rgb(0,10,245)",'862,Venezuela
ZAF,1997,"rgb(19,114,123)",'710,South Africa
ZMB,1997,"rgb(79,176,0)",'894,Zambia
TWN,1997,"rgb(17,35,203)",'158,Taiwan
ALB,1998,"rgb(18,190,48)",'008,Albania
AND,1998,"rgb(39,151,65)",'020,Andorra
ANT,1998,"rgb(1,24,230)",NA,NA
ARG,1998,"rgb(37,49,169)",'032,Argentina
AUS,1998,"rgb(52,39,164)",'036,Australia
AUT,1998,"rgb(6,224,25)",'040,Austria
AZE,1998,"rgb(16,118,121)",'031,Azerbaijan
BDI,1998,"rgb(36,99,120)",'108,Burundi
BEL,1998,"rgb(10,182,63)",'056,Belgium
BEN,1998,"rgb(87,67,101)",'204,Benin
BFA,1998,"rgb(36,105,115)",'854,Burkina
BGD,1998,"rgb(53,43,158)",'050,Bangladesh
BGR,1998,"rgb(10,193,53)",'100,Bulgaria
BHS,1998,"rgb(0,1,254)",'044,The Bahamas
BLR,1998,"rgb(27,184,44)",'112,Belarus
BLZ,1998,"rgb(1,6,247)",'084,Belize
BOL,1998,"rgb(4,21,230)",'068,Bolivia
BRA,1998,"rgb(15,62,178)",'076,Brazil
BRB,1998,"rgb(6,11,239)",'052,Barbados
BRN,1998,"rgb(11,30,214)",'096,Brunei
BTN,1998,"rgb(56,99,100)",'064,Bhutan
CAF,1998,"rgb(29,136,90)",'140,Central African Republic
CAN,1998,"rgb(5,5,245)",'124,Canada
