import_index,export_index,unknown1,lnXniXnn,lnX'niX'nn,dist1,dist2,dist3,dist4,dist5,dist6,border,r_and_d,human_capital,unknown2,labor,wage,common_language,both_in_EU,both_in_EFTA,distance
18,10,90,-3.6,-3.09,0,0,1,0,0,0,0,-1.16,0.071,-0.202,-0.193,0.01,0,1,0,0.897
18,11,90,-3.69,-2.54,0,0,0,0,1,0,0,0.561,0.108,0.349,1.01,0.06,0,0,0,5.96
18,12,90,-3.43,-6.14,1,0,0,0,0,0,0,-1.63,0.108,0.442,-1.51,0.215,0,1,0,0.221
18,13,90,-6.54,-6.82,0,0,0,0,0,1,0,-5,0.087,-2.93,-2.92,-0.425,1,0,0,11.7
18,14,90,-4.39,-5.12,0,1,0,0,0,0,0,-3.22,0.083,-2.88,-2.57,0.303,0,0,0,0.718
18,15,90,-5.38,-5.98,0,0,1,0,0,0,0,-5.36,-0.265,-0.781,-1.86,-1.17,0,1,0,0.985
18,16,90,-4.46,-4.11,0,0,1,0,0,0,0,-2.84,0.132,-1.11,-0.695,-0.263,0,1,0,0.783
18,17,90,-4.25,-4.6,0,0,1,0,0,0,0,-1.93,0.126,-2.51,-1.85,0.266,0,0,0,0.892
18,18,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,19,90,-2.95,-2.14,0,0,0,0,1,0,0,1.95,0.352,-2.17,1.47,0.311,1,0,0,3.96
19,1,90,-6.87,-7.3,0,0,0,0,0,1,0,-4.74,-0.327,-2.49,-2.72,-0.491,1,0,0,9.39
19,2,90,-7.67,-9.01,0,0,0,0,1,0,0,-5.06,-0.344,1.23,-3.51,-0.355,0,0,0,4.7
19,3,90,-6.36,-10.9,0,0,0,0,1,0,0,-4.2,-0.257,2.49,-3.39,-0.086,0,0,0,4.15
19,4,90,-3.44,-4.59,0,1,0,0,0,0,1,-3.51,-0.192,-2.31,-2.23,-0.132,1,0,0,0.648
19,5,90,-7.47,-9.52,0,0,0,0,1,0,0,-5.28,-0.559,1.5,-3.76,-0.219,0,0,0,4.26
19,6,90,-7.44,-8.25,0,0,0,0,1,0,0,-5.24,-0.11,-0.592,-3.87,0.02,0,0,0,4.44
19,7,90,-5.34,-6.07,0,0,0,0,1,0,0,-2.2,-0.237,1.36,-1.55,-0.081,0,0,0,4.15
19,8,90,-4.53,-5.02,0,0,0,0,1,0,0,-1.78,-0.157,2.25,-1.39,-0.032,0,0,0,4.41
19,9,90,-8.84,-10.3,0,0,0,0,1,0,0,-7.64,-0.364,1.05,-3.46,-0.915,0,0,0,5.45
19,10,90,-5.36,-5.67,0,0,0,0,1,0,0,-3.11,-0.281,1.97,-1.66,-0.301,0,0,0,4.83
19,11,90,-3.39,-3.05,0,0,0,0,0,1,0,-1.39,-0.244,2.52,-0.452,-0.251,0,0,0,6.31
19,12,90,-6.42,-9.94,0,0,0,0,1,0,0,-3.58,-0.244,2.61,-2.98,-0.096,0,0,0,4.12
19,13,90,-7.79,-8.88,0,0,0,0,0,1,0,-6.95,-0.266,-0.76,-4.39,-0.736,1,0,0,8.35
19,14,90,-7.34,-8.89,0,0,0,0,1,0,0,-5.17,-0.269,-0.714,-4.04,-0.008,0,0,0,4.05
19,15,90,-8.21,-9.62,0,0,0,0,1,0,0,-7.3,-0.618,1.39,-3.32,-1.48,0,0,0,4.01
19,16,90,-6.79,-7.25,0,0,0,0,1,0,0,-4.79,-0.22,1.06,-2.16,-0.574,0,0,0,4.19
19,17,90,-6.29,-7.45,0,0,0,0,1,0,0,-3.88,-0.226,-0.341,-3.32,-0.045,0,0,0,4.29
19,18,90,-4.78,-5.6,0,0,0,0,1,0,0,-1.95,-0.352,2.17,-1.47,-0.311,1,0,0,3.96
19,19,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
